,,,,,,,
Lk85,"Лк., 85 зач., XVII, 12-19.",Lk85,"Лк., 85 зач., XVII, 12-19.",TRUE,,,
Lk86,"Лк., 86 зач., XVII, 20-25.",Lk86,"Лк., 86 зач., XVII, 20-25.",TRUE,,,
Lk87,"Лк., 87 зач., XVII, 26-37.",Lk87,"Лк., 87 зач., XVII, 26-37.",TRUE,,,
Lk88,"Лк., 88 зач., XVIII, 2-8.",Lk88,"Лк., 88 зач., XVIII, 2-8.",TRUE,,,
Lk89,"Лк., 89 зач., XVIII, 10-14.",Lk89,"Лк., 89 зач., XVIII, 10-14.",TRUE,,,
Lk90,"Лк., 90 зач., XVIII, 15-17, 26-30.",Lk90,"Лк., 90 зач., XVIII, 15-17, 26-30.",TRUE,,,
Lk91,"Лк., 91 зач., XVIII, 18-27.",Lk91,"Лк., 91 зач., XVIII, 18-27.",TRUE,,,
Lk92,"Лк., 92 зач., XVIII, 31-34.",Lk92,"Лк., 92 зач., XVIII, 31-34.",TRUE,,,
Lk93,"Лк., 93 зач., XVIII, 35-43.",Lk93,"Лк., 93 зач., XVIII, 35-43.",TRUE,,,
Lk94,"Лк., 94 зач., XIX, 1-10.",Lk94,"Лк., 94 зач., XIX, 1-10.",TRUE,,,
Lk95,"Лк., 95 зач., XIX, 12-28.",Lk95,"Лк., 95 зач., XIX, 12-28.",TRUE,,,
Lk96,"Лк., 96 зач., XIX, 29-40; XXII, 7-39.",Lk96,"Лк., 96 зач., XIX, 29-40; XXII, 7-39.",TRUE,,,
Lk97,"Лк., 97 зач., XIX, 37-44.",Lk97,"Лк., 97 зач., XIX, 37-44.",TRUE,,,
Lk98,"Лк., 98 зач., XIX, 45-48.",Lk98,"Лк., 98 зач., XIX, 45-48.",TRUE,,,
Lk99,"Лк., 99 зач., XX, 1-8.",Lk99,"Лк., 99 зач., XX, 1-8.",TRUE,,,
Lk100,"Лк., 100 зач., XX, 9-18.",Lk100,"Лк., 100 зач., XX, 9-18.",TRUE,,,
Lk101,"Лк., 101 зач., XX, 19-26.",Lk101,"Лк., 101 зач., XX, 19-26.",TRUE,,,
Lk102,"Лк., 102 зач., XX, 27-44.",Lk102,"Лк., 102 зач., XX, 27-44.",TRUE,,,
Lk103,"Лк., 103 зач., XX, 45 - XXI, 4.",Lk103,"Лк., 103 зач., XX, 45 - XXI, 4.",TRUE,,,
Lk104,"Лк., 104 зач., XXI, 5-7, 10-11, 20-24.",Lk104,"Лк., 104 зач., XXI, 5-7, 10-11, 20-24.",TRUE,,,
Lk105,"Лк., 105 зач., XXI, 8-9, 25-27, 33-36.",Lk105,"Лк., 105 зач., XXI, 8-9, 25-27, 33-36.",TRUE,,,
Lk105z,"Лк., 105-106 зач., XXI, 8-9, 12-19, 25-27, 33-36.",Lk105z,"Лк., 105-106 зач., XXI, 8-9, 12-19, 25-27, 33-36.",,,,
Lk106,"Лк., 106 зач., XXI, 12-19.",Lk106,"Лк., 106 зач., XXI, 12-19.",TRUE,,,
Lk107,"Лк., 107 зач., XXI, 28-33.",Lk107,"Лк., 107 зач., XXI, 28-33.",TRUE,,,
Lk108a,"Лк., 108 зач., XXI, 37 - XXII, 8.",Lk108,"Лк., 108 зач., XXI, 37 - XXII, 8.",TRUE,,,
Lk108b,"Лк., 108 зач., XXII, 1-39.",,,,,,
Lk109,"Лк., 109 зач., XXII, 39-42, 45 - XXIII, 1.",Lk109,"Лк., 109 зач., XXII, 39-42, 45 - XXIII, 1.",TRUE,,"Лк., 106 зач., XXI, 12-19.",Lk106
Lk110,"Лк., 110 зач., XXIII, 1-34, 44-56.",Lk110,"Лк., 110 зач., XXIII, 1-34; 44-56.",FALSE,,,
Lk111,"Лк., 111 зач., XXIII, 32-49.",Lk111,"Лк., 111 зач., XXIII, 32-49.",TRUE,,,
Lk112,"Лк., 112 зач., XXIV, 1-12.",Lk112,"Лк., 112 зач., XXIV, 1-12.",TRUE,,,
Lk113,"Лк., 113 зач., XXIV, 12-35.",Lk113,"Лк., 113 зач., XXIV, 12-35.",TRUE,,,
Lk114,"Лк., 114 зач., XXIV, 36-53.",Lk114,"Лк., 114 зач., XXIV, 36-53.",TRUE,,,
Mk1,"Мк., 1 зач., I, 1-8.",Mk1,"Мк., 1 зач., I, 1-8.",TRUE,,,
Mk2a,"Мк., 2 зач., I, 9-15.",Mk2a,"Мк., 2 зач., I, 9-15.",TRUE,,,
Mk2b,"Мк., 2 зач., I, 9-11.",Mk2b,"Мк., 2 зач., I, 9-11.",TRUE,,,
Mk3,"Мк., 3 зач., I, 16-22.",Mk3,"Мк., 3 зач., I, 16-22.",TRUE,,,
Mk4,"Мк., 4 зач., I, 23-28.",Mk4,"Мк., 4 зач., I, 23-28.",TRUE,,,
Mk5,"Мк., 5 зач., I, 29-35.",Mk5,"Мк., 5 зач., I, 29-35.",TRUE,,,
Mk6,"Мк., 6 зач., I, 35-44.",Mk6,"Мк., 6 зач., I, 35-44.",TRUE,,,
Mk7,"Мк., 7 зач., II, 1-12.",Mk7,"Мк., 7 зач., II, 1-12.",TRUE,,,
Mk8,"Мк., 8 зач., II, 14-17.",Mk8,"Мк., 8 зач., II, 14-17.",TRUE,,,
Mk9,"Мк., 9 зач., II, 18-22.",Mk9,"Мк., 9 зач., II, 18-22.",TRUE,,,
Mk10,"Мк., 10 зач., II, 23 - III, 5.",Mk10,"Мк., 10 зач., II, 23 - III, 5.",TRUE,,,
Mk11,"Мк., 11 зач., III, 6-12.",Mk11,"Мк., 11 зач., III, 6-12.",TRUE,,,
Mk12,"Мк., 12 зач., III, 13-19.",Mk12,"Мк., 12 зач., III, 13-19.",TRUE,,,
Mk13,"Мк., 13 зач., III, 20-27.",Mk13,"Мк., 13 зач., III, 20-27.",TRUE,,,
Mk14,"Мк., 14 зач., III, 28-35.",Mk14,"Мк., 14 зач., III, 28-35.",TRUE,,,
Mk15,"Мк., 15 зач., IV, 1-9.",Mk15,"Мк., 15 зач., IV, 1-9.",TRUE,,,
Mk16,"Мк., 16 зач., IV, 10-23.",Mk16,"Мк., 16 зач., IV, 10-23.",TRUE,,,
Mk17,"Мк., 17 зач., IV, 24-34.",Mk17,"Мк., 17 зач., IV, 24-34.",TRUE,,,
Mk18,"Мк., 18 зач., IV, 35-41.",Mk18,"Мк., 18 зач., IV, 35-41.",TRUE,,,
Mk19,"Мк., 19 зач., V, 1-20.",Mk19,"Мк., 19 зач., V, 1-20.",TRUE,,,
Mk20,"Мк., 20 зач., V, 22-24, 35 - VI, 1.",Mk20,"Мк., 20 зач., V, 22-24, 35 - VI, 1.",TRUE,,,
Mk21,"Мк., 21 зач., V, 24-34.",Mk21,"Мк., 21 зач., V, 24-34.",TRUE,,,
Mk22,"Мк., 22 зач., VI, 1-7.",Mk22,"Мк., 22 зач., VI, 1-7.",TRUE,,,
Mk23,"Мк., 23 зач., VI, 7-13.",Mk23,"Мк., 23 зач., VI, 7-13.",TRUE,,,
